NAME;CONDITIONAL;TYPE;VALUES_ARRAY
particles;FALSE;i;(2,200)
topology;FALSE;c;(0,1,2,3,4,5,6)
modInfluence;FALSE;c;(0,1,2)
branching;TRUE;i;(4,20)
tSchedule;TRUE;i;(2,10)
phi1;FALSE;r;(0.00,2.50)
phi2;FALSE;r;(0.00,2.50)
inertia;FALSE;r;(0.00,0.90)
